aX,aY,aZ,gX,gY,gZ
-1.539,-0.578,-2.030,41.687,-221.069,-0.854
-1.660,-0.492,-1.840,22.644,-243.530,4.150
-1.757,-0.439,-1.596,2.075,-265.442,7.385
-1.838,-0.401,-1.296,-18.372,-287.476,10.559
-1.885,-0.356,-0.970,-36.194,-308.716,12.939
-1.907,-0.290,-0.610,-51.086,-327.759,14.465
-1.871,-0.246,-0.232,-65.613,-343.079,15.625
-1.743,-0.214,0.124,-76.782,-353.821,15.747
-1.573,-0.186,0.499,-82.214,-360.962,15.991
-1.388,-0.162,0.894,-87.280,-365.479,13.916
-1.182,-0.175,1.284,-93.201,-365.967,8.484
-0.936,-0.280,1.635,-100.464,-360.107,0.671
-0.691,-0.403,1.909,-106.140,-346.252,-7.751
-0.462,-0.566,2.148,-106.018,-327.209,-17.578
-0.248,-0.765,2.352,-100.281,-304.138,-25.146
-0.073,-0.932,2.505,-88.684,-276.428,-30.151
0.028,-1.064,2.623,-71.350,-244.812,-32.837
0.048,-1.244,2.691,-49.927,-211.792,-32.959
-0.010,-1.385,2.692,-25.940,-178.955,-32.654
-0.091,-1.499,2.650,-3.235,-147.522,-33.569
-0.160,-1.572,2.585,15.991,-119.995,-32.227
-0.236,-1.627,2.510,32.654,-94.788,-29.663
-0.290,-1.687,2.433,44.983,-71.594,-25.757
-0.353,-1.715,2.343,53.833,-49.622,-18.005
-0.454,-1.698,2.251,59.265,-28.992,-6.958
-0.533,-1.659,2.141,59.753,-10.620,5.127
-0.548,-1.605,2.047,55.847,5.432,16.724
-0.529,-1.542,1.986,49.316,19.531,27.100
-0.476,-1.468,1.941,41.138,32.349,36.377
-0.417,-1.404,1.903,32.898,45.715,44.250
-0.371,-1.353,1.863,25.696,59.998,50.964
-0.359,-1.299,1.806,19.958,76.111,56.763
-0.351,-1.255,1.721,15.015,93.506,60.425
-0.331,-1.233,1.632,11.475,110.840,62.744
-0.303,-1.173,1.507,10.498,126.038,65.369
-0.283,-1.085,1.376,12.024,140.869,66.895
-0.286,-1.002,1.218,14.282,155.029,66.772
-0.294,-0.943,1.031,16.785,168.091,65.491
-0.315,-0.871,0.868,18.799,179.138,63.843
-0.344,-0.811,0.694,20.569,187.866,60.974
-0.387,-0.747,0.518,23.254,194.275,56.763
-0.422,-0.661,0.375,26.794,198.669,49.683
-0.491,-0.576,0.257,28.687,200.378,42.114
-0.532,-0.537,0.112,26.672,201.111,34.058
-0.494,-0.562,-0.043,19.958,202.515,26.245
-0.449,-0.549,-0.142,9.888,202.271,18.433
-0.466,-0.547,-0.174,-0.061,199.463,10.498
-0.483,-0.674,-0.192,-11.658,197.388,5.005
-0.456,-0.646,-0.223,-25.024,199.036,4.944
-0.472,-0.708,-0.239,-34.729,202.087,0.244
-0.526,-0.857,-0.250,-36.316,204.407,-3.540
-0.511,-0.954,-0.327,-32.288,210.205,-1.404
-0.527,-0.950,-0.385,-26.489,215.332,3.296
-0.543,-0.942,-0.438,-20.386,217.346,5.432
-0.499,-0.928,-0.546,-13.672,218.811,8.545
-0.478,-0.859,-0.628,-7.629,218.140,10.498
-0.476,-0.785,-0.686,-3.906,214.539,7.385
-0.442,-0.766,-0.786,-3.052,209.534,2.869
-0.405,-0.781,-0.876,-1.038,203.735,-1.038
-0.451,-0.781,-0.925,4.150,193.726,-5.188
-0.487,-0.774,-0.966,9.033,184.570,-10.986
-0.463,-0.815,-1.042,8.850,176.697,-12.817
-0.426,-0.824,-1.116,7.202,169.250,-10.254
-0.430,-0.798,-1.141,8.667,161.560,-8.850
-0.434,-0.767,-1.151,10.315,153.992,-10.681
-0.408,-0.754,-1.165,9.949,146.484,-13.611
-0.372,-0.739,-1.161,6.714,138.611,-16.663
-0.337,-0.735,-1.140,0.610,129.944,-19.775
-0.322,-0.750,-1.093,-6.653,121.704,-21.606
-0.307,-0.774,-1.034,-14.404,113.037,-23.743
-0.275,-0.806,-0.974,-22.278,104.858,-25.818
-0.252,-0.842,-0.902,-29.236,97.351,-27.710
-0.081,-1.016,-0.081,5.005,1.770,0.610
-0.083,-1.026,-0.082,3.601,1.404,0.122
-0.081,-1.026,-0.075,2.930,1.526,-0.305
-0.079,-1.024,-0.083,2.991,1.831,-0.977
-0.077,-1.035,-0.092,2.747,0.977,-0.977
-0.081,-1.021,-0.090,0.977,-0.488,-0.061
-0.088,-1.007,-0.084,0.000,-0.977,0.671
-0.094,-1.015,-0.098,0.366,-1.709,0.549
-0.100,-1.024,-0.100,1.404,-2.686,-0.061
-0.100,-1.020,-0.099,1.160,-3.479,-0.244
-0.093,-1.013,-0.093,0.854,-3.967,-0.549
-0.085,-1.013,-0.088,0.244,-4.150,-0.793
-0.085,-1.017,-0.090,-0.244,-3.906,-0.549
-0.091,-1.023,-0.093,-0.671,-3.723,0.000
-0.095,-1.034,-0.095,-0.916,-3.540,1.221
-0.096,-1.024,-0.092,-1.343,-3.357,2.319
-0.096,-1.012,-0.087,-0.977,-3.296,2.563
-0.092,-1.017,-0.082,0.183,-3.479,2.075
-0.089,-1.025,-0.081,0.671,-3.418,1.526
-0.085,-1.031,-0.084,0.793,-3.174,1.282
-0.085,-1.038,-0.085,0.793,-3.235,1.526
-0.096,-1.060,-0.108,0.000,-4.395,2.808
-0.101,-1.070,-0.122,-1.526,-5.554,4.028
-0.117,-1.077,-0.136,-1.099,-7.080,4.089
-0.130,-1.092,-0.161,1.892,-8.362,2.502
-0.122,-1.120,-0.182,6.226,-9.338,-0.183
-0.124,-1.146,-0.215,10.193,-11.108,-2.258
-0.140,-1.174,-0.246,12.878,-13.550,-2.441
-0.163,-1.205,-0.300,14.099,-16.235,-1.648
-0.174,-1.234,-0.367,17.883,-17.822,-2.136
-0.192,-1.279,-0.458,26.367,-18.433,-4.700
-0.230,-1.326,-0.584,39.246,-19.531,-10.193
-0.270,-1.289,-0.726,57.068,-21.606,-17.212
-0.309,-1.228,-0.874,77.026,-23.865,-22.949
-0.352,-1.142,-1.028,92.102,-23.010,-22.766
-0.482,-1.087,-1.199,96.558,-17.334,-12.451
-0.659,-1.077,-1.422,89.355,-8.179,4.822
-0.845,-1.020,-1.680,78.430,-1.038,23.010
-1.057,-0.884,-1.962,76.477,1.099,33.264
-1.280,-0.754,-2.254,82.520,-5.005,34.729
-1.468,-0.601,-2.541,87.585,-21.973,30.762
-1.606,-0.390,-2.733,89.417,-50.415,21.851
-1.710,-0.172,-2.818,87.952,-89.050,9.644
-1.764,0.027,-2.804,78.796,-133.240,-3.906
-1.832,0.164,-2.660,60.059,-179.932,-18.677
-1.890,0.177,-2.413,30.701,-228.760,-33.875
-1.944,0.118,-2.049,-3.296,-274.475,-46.387
-1.982,0.067,-1.581,-37.720,-313.599,-53.528
-1.991,0.011,-1.063,-69.519,-344.360,-52.429
-2.020,-0.079,-0.477,-97.900,-369.751,-47.180
-2.025,-0.316,0.226,-125.061,-394.409,-42.297
-1.883,-0.660,1.049,-156.006,-419.189,-35.217
-1.617,-0.960,1.932,-183.533,-436.340,-26.184
-1.250,-1.160,2.744,-193.359,-439.331,-20.203
-0.820,-1.322,3.399,-184.998,-418.823,-20.447
-0.407,-1.517,3.844,-164.673,-377.686,-23.376
-0.080,-1.677,4.000,-137.329,-325.623,-19.226
0.228,-1.812,4.000,-109.619,-269.043,-8.728
0.498,-1.807,4.000,-83.496,-211.914,4.456
0.661,-1.699,4.000,-56.885,-155.884,14.221
0.698,-1.646,4.000,-27.100,-103.882,17.090
0.659,-1.605,4.000,3.479,-57.251,18.188
0.594,-1.478,3.801,35.339,-14.832,16.846
0.497,-1.307,3.463,66.833,23.437,14.282
0.351,-1.099,3.100,89.050,59.204,13.245
0.224,-0.944,2.756,96.436,94.116,11.841
0.091,-0.833,2.459,90.759,127.014,10.620
-0.053,-0.792,2.229,77.637,159.668,12.390
-0.172,-0.880,2.091,54.932,191.650,21.240
-0.283,-0.903,1.970,29.785,221.375,32.288
-0.400,-0.928,1.810,16.968,250.427,38.147
-0.533,-1.016,1.596,13.794,274.597,41.748
-0.645,-1.003,1.306,15.686,292.175,45.044
-0.765,-0.952,1.008,24.170,302.063,47.363
-0.819,-0.895,0.691,33.142,302.795,42.542
