aX,aY,aZ,gX,gY,gZ
-0.301,-0.963,-0.021,1.099,-1.404,1.099
-0.298,-0.965,-0.020,0.916,-1.465,0.488
-0.289,-0.961,-0.019,0.305,-1.587,0.793
-0.280,-0.953,-0.023,-0.122,-1.587,0.916
-0.270,-0.948,-0.031,-0.549,-1.282,0.061
-0.255,-0.950,-0.042,-1.770,-1.282,-1.526
-0.217,-0.967,-0.064,-3.723,-1.953,-3.418
-0.139,-1.029,-0.089,-8.301,-3.174,-5.188
-0.072,-1.188,-0.085,-18.677,-5.859,-6.592
-0.046,-1.470,-0.021,-36.377,-10.803,-5.981
-0.048,-1.960,0.081,-61.584,-16.235,-5.005
-0.229,-2.557,0.207,-93.323,-19.653,-2.258
-0.441,-3.241,0.332,-126.709,-13.306,2.441
-0.737,-4.000,0.398,-156.311,0.183,5.798
-1.186,-4.000,0.508,-163.879,13.245,11.902
-1.693,-4.000,0.615,-131.409,26.489,38.879
-2.130,-4.000,0.674,-61.707,31.616,90.576
-2.371,-4.000,0.676,35.339,27.344,140.015
-2.609,-4.000,0.701,138.489,11.230,160.828
-2.672,-3.999,0.679,214.417,-16.724,152.405
-2.519,-3.089,0.633,250.000,-51.514,141.052
-2.364,-2.276,0.621,253.418,-83.984,148.987
-2.187,-1.496,0.604,236.145,-105.835,187.439
-1.996,-0.900,0.638,206.909,-115.967,252.014
-1.880,-0.486,0.716,168.457,-118.713,317.627
-1.685,-0.119,0.765,133.911,-113.892,366.455
-1.446,0.193,0.773,116.089,-101.563,400.757
-1.354,0.555,0.811,109.375,-88.745,426.392
-1.297,0.975,0.859,107.544,-75.562,441.711
-1.204,1.440,0.900,108.398,-63.171,446.899
-1.183,1.966,1.000,112.610,-56.152,446.228
-1.066,2.636,1.035,118.469,-47.791,435.913
-0.723,3.415,0.944,128.967,-33.569,410.400
-0.181,4.000,0.783,139.587,-19.348,364.014
0.356,4.000,0.587,138.733,-5.615,293.396
0.650,4.000,0.396,125.732,4.211,203.247
0.756,4.000,0.249,108.643,9.949,106.812
0.770,4.000,0.189,87.280,12.268,15.076
0.794,4.000,0.171,57.617,13.489,-75.012
0.787,4.000,0.193,16.418,15.381,-162.415
0.645,4.000,0.242,-34.607,21.057,-235.168
0.303,4.000,0.374,-92.224,29.480,-282.349
-0.105,3.747,0.509,-146.118,40.527,-308.716
-0.423,3.065,0.582,-190.674,54.993,-322.754
-0.716,2.364,0.670,-222.534,68.420,-330.994
-1.061,1.640,0.772,-239.319,77.026,-338.623
-1.378,0.946,0.857,-242.065,81.970,-345.703
-1.705,0.214,0.946,-231.934,85.144,-349.121
-2.134,-0.526,0.999,-216.614,81.543,-346.863
-2.375,-1.207,0.961,-198.425,71.106,-341.125
-2.470,-1.805,0.938,-178.894,56.030,-331.421
-2.459,-2.361,0.896,-161.194,42.114,-317.566
-2.383,-2.699,0.796,-151.611,35.400,-286.682
-2.299,-3.020,0.739,-156.189,34.058,-233.826
-2.154,-3.548,0.684,-167.480,36.987,-171.936
-1.985,-4.000,0.614,-169.189,41.321,-117.859
-1.784,-4.000,0.542,-150.085,42.847,-78.552
-1.488,-4.000,0.475,-114.807,42.358,-54.565
-1.176,-4.000,0.374,-73.608,38.696,-43.701
-0.958,-3.796,0.272,-36.621,28.442,-45.227
-0.777,-3.414,0.199,-5.188,14.221,-57.983
-0.586,-3.029,0.121,18.311,-0.488,-78.430
-0.437,-2.646,0.046,37.903,-13.123,-95.276
-0.343,-2.274,-0.003,54.443,-20.691,-98.999
-0.270,-1.913,-0.014,66.223,-22.217,-91.003
-0.208,-1.582,0.003,68.604,-18.555,-76.172
-0.136,-1.340,0.043,58.960,-10.742,-58.105
-0.079,-1.185,0.083,38.330,-2.930,-39.368
-0.051,-1.123,0.112,11.353,2.930,-21.301
-0.059,-1.145,0.139,-12.817,8.179,-4.761
-0.110,-1.222,0.174,-29.907,12.329,6.226
-0.179,-1.315,0.201,-36.682,14.832,10.010
